unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Gràcia,Obres,22002575,2022,Obres estalvi energètic enllumenat E. Jove Fontana,47771.56,2022-09-28,2022-12-31 00:00:00,EIFFAGE ENERGIA SL,B02272490
Districte de Ciutat Vella,Subministraments,22002540,2022,Adq. equips climatització Guàrdia Urbana CV,2170.9,2022-07-26,2022-08-31 00:00:00,"EL CORTE INGLES, S.A.",A28017895
Gerència d'Area d'Ecologia Urbana,Serveis,22002470,2022,Servei d'atenció i informació obres Pi i Margall,6047.58,2022-07-20,2022-12-31 00:00:00,EL GLOBUS VERMELL AACC DIV.ARQ,G65943854
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22002857,2022,Creació identitat gràfica Direcció Educació,6048.79,2022-09-14,2022-12-31 00:00:00,"EL GUATEQUE, AGENCIA DE",B66694886
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002818,2022,Xerrades informatives i distribució de material,15137.1,2022-09-09,2022-12-09 00:00:00,EL PRINCIPI D'OCCAM SL,B66999376
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002572,2022,Lavabo adaptat a Front Marítim,2574.88,2022-08-04,2022-08-28 00:00:00,EL PRINCIPI D'OCCAM SL,B66999376
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002953,2022,Adequacions en xarxa de comunicació,13476.38,,2022-12-31 00:00:00,ELECNOR SEGURIDAD SL,B83680132
Gerència de Mobilitat i Infraestructures,Serveis,22002562,2022,"Desenvolupament, AT, manteniment i reparació SCADA",16936.54,2022-08-04,2023-08-03 00:00:00,ELECNOR SERVICIOS Y PROYECTOS,A79486833
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22002614,2022,Submin llicències VIGIPLUS i aplicatiu control,16136.71,2022-07-30,2022-08-31 00:00:00,ELECNOR SERVICIOS Y PROYECTOS,A79486833
Districte de Gràcia,Subministraments,22002615,2022,Subministr. material per reproducció en streaming,17360.32,2022-09-20,2022-12-31 00:00:00,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Gerència Municipal,Serveis,22002359,2022,Adquisició sobres enquesta sociodemogràfica 2022,469.24,,,"EMILIO DOMENECH MIRABET, SA",A08718272
Districte de Ciutat Vella,Subministraments,22002383,2022,Adq. taules CGG Pati Llimona i CC Barceloneta,3268.21,2022-07-12,2022-08-31 00:00:00,"ENGINYERIA, MUNTATGE I EQUIPAM",B60757192
Districte de l'Eixample,Subministraments,22002362,2022,Adquisició de mobiliari per E.G.G. Sant Antoni,2601.5,,,"ENGINYERIA, MUNTATGE I EQUIPAM",B60757192
Gerència d'Urbanisme,Serveis,22002538,2022,Anàlisi risc i pla excavació tanatori Sant Andreu,2783.0,2022-07-27,2022-08-27 00:00:00,"ENVIROENG 2000, SL",B65179293
"Ger. Drets Socials, Just. Global, Femini",Serveis,22003023,2022,"Informe despesa allotjament 2020, 2021 i 2022",5888.83,2022-09-29,2022-10-15 00:00:00,EQUALES ITC SL,B66172065
Gerència Medi Ambient i Serveis Urbans,Serveis,22002799,2022,"Continguts ""Bones pràctiques sostenibilitat""",11737.0,2022-09-16,2022-10-16 00:00:00,ERLEBNIS S.L.U.,B65173353
Districte de Sarrià - Sant Gervasi,Serveis,22002844,2022,Assistència Tècnica Eleccions 2023,11162.25,2022-09-14,2022-12-31 00:00:00,"E-SCENTIA GLOBAL, SOCIEDAD LIM",B66074402
Districte de Nou Barris,Serveis,22002466,2022,DECORACIÓ NADAL AL COMERÇ,6050.0,2022-09-01,2022-12-31 00:00:00,ESCOLA D´ART I SUPERIOR DE DIS,Q5856288E
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002370,2022,Direcc. d'obra i CSS instal·lació clima PB Llevant,13249.5,2022-07-22,2022-12-31 00:00:00,ESITEC ENERGIA SL,B66067117
Districte de Sant Martí,Subministraments,22002306,2022,Subministrament i instal·lació prestatgeries,4246.1,2022-07-16,2022-10-16 00:00:00,"ESMELUX, ESTANTERÍA RÁPIDA,. S",B82557125
Districte de Nou Barris,Serveis,22002458,2022,ORGANITZACIÓ CONCURS APERITIUS DE NADAL,18008.43,2022-09-01,2022-12-31 00:00:00,ESMOLET PRODUKZIOAK SL,B95924205
Districte de Sants-Montjuïc,Subministraments,22002882,2022,Subministrament infraestructures campanya Nadal,18117.33,2022-09-28,2022-12-31 00:00:00,ESPAI I DIFUSIO SL,B64756802
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002434,2022,suport audiovisual,17545.0,2022-07-22,2022-09-21 00:00:00,ESPAI I DIFUSIO SL,B64756802
Districte de Sants-Montjuïc,Serveis,22002763,2022,Jornades per a persones grans voluntàries,6085.0,2022-09-15,2022-12-31 00:00:00,ESPORT3 SERVEIS ALTERNATIUS SL,B62068713
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002412,2022,Creació Taules Acció Social de Districte (TAS),17801.52,2022-07-12,2022-12-31 00:00:00,"ESTRATEGIES QUALITAT URBANA, S",B60838307
Districte de Sarrià - Sant Gervasi,Serveis,22002895,2022,CSS reparació drenatge part final c/Malva,987.36,2022-09-19,2022-12-31 00:00:00,ESTUDI TECNIC CONSTRUCCIO CATA,B17433806
Districte de Sarrià - Sant Gervasi,Serveis,22002896,2022,CSS Barana protecció i fresat paviment c.Elisa Mor,711.48,2022-09-19,2022-12-31 00:00:00,ESTUDI TECNIC CONSTRUCCIO CATA,B17433806
Districte de Sarrià - Sant Gervasi,Serveis,22002787,2022,CSS servei neteja arrossegaments i reg,469.48,2022-09-02,2022-12-31 00:00:00,ESTUDI TECNIC CONSTRUCCIO CATA,B17433806
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002820,2022,Adequació a normativa Apartaments Pau Casals,5777.75,2022-09-09,2022-12-31 00:00:00,"ESTUDI-XV, SCP",J64057474
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002217,2022,suport i informació en ucrainès a Fira,7202.5,2022-07-12,2022-08-05 00:00:00,"EURO-TOMB BARCELONA, SL",B60976495
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002288,2022,Direcció d'obra i CSS carregadors furgonetes UIPA,5880.6,2022-07-07,2022-12-31 00:00:00,EVECTRA MOBILITY SERVICES S.L.,B65910903
Districte de Sarrià - Sant Gervasi,Obres,22002889,2022,Reparació drenatge part final c/Malva,27688.39,2022-09-16,2022-12-31 00:00:00,EXCAVACION. Y ROCALLAS CATALUN,B65535833
Districte de Gràcia,Serveis,22002420,2022,Treballs de sondejos al mur jardins Canals Junyer,7285.41,2022-07-19,2022-09-19 00:00:00,"EXNOVO CONSTRUCCION TECNICA, S",B65468803
Gerència d'Area d'Ecologia Urbana,Subministraments,22002631,2022,Subministrament de mobiliari a Ecologia Urbana,9643.11,2022-08-24,2022-10-24 00:00:00,EXPERT LINE SL,B17036476
Districte de l'Eixample,Subministraments,22002716,2022,Adquisició estor per Espai Gent Gran Transformador,1485.88,2022-09-14,2022-12-31 00:00:00,EXPERT LINE SL,B17036476
Districte de Les Corts,Subministraments,22002581,2022,SUBMINIST. CADIRES EQUIPAMENTS DTE. DE LES CORTS,10810.52,2022-07-27,2022-10-31 00:00:00,F VIDAL SA,A08364333
Districte de Ciutat Vella,Serveis,22002399,2022,Serv. estudi implementació estratègia Residu 0,10164.0,2022-07-09,2022-12-31 00:00:00,F.PRIV.CAT.PREVENCIO RESIDUS/C,G64007404
Gerència de Recursos,Serveis,22002600,2022,Curs conducció eficient vehicles energia elèctrica,2874.96,,,FAST ENGINYERIA,B64282460
Districte de Nou Barris,Serveis,22002595,2022,NETEGES EXTRAORDINÀRIES CENTRES ESCOLARS,3271.84,2022-07-29,2022-12-31 00:00:00,FCC MEDIO AMBIENTE SA,A28541639
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22002053,2022,Acompanyament voluntaris refugiats Ucraïna,5486.0,2022-07-04,2022-12-31 00:00:00,FED.CATALANA DE VOLUNTARIAT SO,G59106823
Districte de Sants-Montjuïc,Serveis,22002256,2022,Actuació musical El món a La Bordeta,2150.0,2022-07-12,2022-07-31 00:00:00,FEDERACIO COMISSIO FESTES BORD,G67582858
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22002919,2022,Disseny identificació corporativa,5989.5,,,FONT-ROVIRA ASSOCIATS SCP,J61691754
Districte de Nou Barris,Serveis,22002590,2022,"DIAGNÒSTIC, PLA DE TREBALL I ORIENTACIÓ LABORAL",14903.56,2022-07-29,2022-12-31 00:00:00,FORMACIO I TREBALL FUNDACIO PR,G60229846
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22002285,2022,Servei de visites guiades a l'edifici Gustau Gili,9111.3,2022-07-04,2023-06-30 00:00:00,FRAGMENT SERVEIS CULTURALS SL,B61151098
Districte de Sarrià - Sant Gervasi,Obres,22002502,2022,BESCANVIADOR DE CALOR SEU DEL DTE-05,9767.88,2022-07-20,2022-12-31 00:00:00,"FRICOR SERVEI INTEGRAL, SL",B61529277
Districte de Nou Barris,Serveis,22002379,2022,SEGUIMENT POBRESA ENERGÈTICA FAMÍLIES VULNERABLES,4006.48,2022-07-08,2022-09-09 00:00:00,FUND. ACCION BIENESTAR Y DESAR,G65715385
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002838,2022,Postgrau en Gestió de Persones i Relacions Laboral,13020.0,,2022-12-31 00:00:00,FUND.PRIVAD.INSTITUT D'EDUCACI,G60414182
Districte de Ciutat Vella,Serveis,22002646,2022,Estudi senyalètica al Districte de Ciutat Vella,15560.6,2022-07-29,2023-04-01 00:00:00,FUNDAC PRIVADA ELISAVA ESCOLA,G63210215
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002692,2022,Disseny i sist. notificació prog.malestar adults,16940.0,2022-08-08,2023-02-07 00:00:00,FUNDACIO AVEDIS DONABEDIAN,G59026716
Districte de l'Eixample,Serveis,22002528,2022,Servei de condicionament enjardinats EGG St Antoni,2858.38,,,FUNDACIO BARCANOVA,G67430736
Districte de Sarrià - Sant Gervasi,Serveis,22002647,2022,Aperitiu Festa Radars Sarrià - Les Torres Torres,327.8,2022-09-17,2022-12-31 00:00:00,FUNDACIÓ CANPEDRÓ,G60739984
Districte de Gràcia,Serveis,22002531,2022,Neteja badalots d’accés refugi antiaeri pl Diamant,5779.43,2022-07-22,2022-08-22 00:00:00,FUNDACIÓ PRIVADA INCLUSIÓ LABO,G67044271
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002653,2022,Postgrau en Detecció i Intervenció de Violència fa,2780.0,2022-09-07,2022-12-31 00:00:00,FUNDACIÓ PRIVADA INSTITUT DE F,G64489172
Districte de Sant Andreu,Serveis,22002666,2022,Prospecció de les empreses del polígon Bon Pastor,14700.0,2022-08-03,2022-10-03 00:00:00,FUNDACIO PRIVADA TRINIJOVE,G59546556
Districte de Sarrià - Sant Gervasi,Serveis,22002846,2022,Concert orquestra VOZES FM Sarrià acte institucion,1000.0,2022-10-06,2022-10-06 00:00:00,FUNDACIO PRIVADA VOZES,G63919716
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002806,2022,Actuació orquestra i coral acte Diada GUB,700.0,2022-09-10,2022-10-26 00:00:00,FUNDACIO PRIVADA VOZES,G63919716
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002226,2022,Curs Liderazgo en las organizaciones policiales GU,5100.0,2022-07-16,2022-12-31 00:00:00,FUNDACIÓ UNIVERSITAT AUTONOMA,G61612925
Districte de Sants-Montjuïc,Privat d'Administració Pública,22002905,2022,Montjuïc del romans,4959.79,2022-10-04,2022-12-31 00:00:00,FUNDACION CULTURAL HOSTAFRANCS,G08945065
Districte de Sant Martí,Serveis,22002757,2022,Intervenció per la cohesió social àmbit educatiu,4750.0,,,FUNDACION YEHUDI MENUHIN ESPAñ,G82260282
Districte de Gràcia,Subministraments,22002982,2022,Subministrament de 4 jardineres per c/Pau Alsina,9371.45,2022-09-30,2022-10-30 00:00:00,FUNDUCTIL TARREGA SL,B62110507
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002656,2022,Transport de cavalls de la GUB,2766.06,2022-09-08,2022-12-31 00:00:00,GABI GUSOI HORSE TRANSPORT SL,B09664756
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22002626,2022,Verificació obertura comercial en zona turística,12799.38,2022-07-29,2022-10-14 00:00:00,GABINET D'ESTUDIS SOCIALS I OP,B63647994
Gerència de Pressupostos i Hisenda,Serveis,22002332,2022,Servei assessorament tècnic operacions patrimonial,5929.0,,,GABINETE TECNICO DE AUDITORIA,A58604745
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002492,2022,Elaboració de 7 anàlisis documentals d’expedients,11739.42,2022-07-18,2022-12-31 00:00:00,"GABINETE UMBUS, SL",B85374023
Districte de l'Eixample,Serveis,22002373,2022,"Neteja de xoc, desinfecció i buidatge",16383.69,,,"GARBET, NETEJA I MANTENIMENT I",F17849290
Gerència de Recursos,Serveis,22002462,2022,Informació violència masclista Front Marítim,14660.0,2022-07-15,2022-09-15 00:00:00,GENERA,G63156541
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002515,2022,Assessorament prevenció violències sexuals,3660.25,2022-07-21,2022-09-19 00:00:00,GENERA,G63156541
Districte d' Horta-Guinardó,Obres,22002773,2022,V - Retirada quioscos premsa Dte. Horta-Guinardó,48010.0,2022-09-14,2022-10-14 00:00:00,"GENERAL FACILITIES, SLU",B65657124
Districte d' Horta-Guinardó,Obres,22002360,2022,"G - Arranjament vorera c. Sales i Ferré, 1-5",42957.0,2022-07-21,2022-08-21 00:00:00,"GENERAL FACILITIES, SLU",B65657124
Districte de Sarrià - Sant Gervasi,Subministraments,22002601,2022,Arrendament 2 equips multifuncionals d'impressió,11584.89,2022-09-01,2023-08-31 00:00:00,"GENERAL MACHINES TECHNOLOGY, S",B91509281
Gerència de Recursos,Subministraments,22002533,2022,PAPER PER LES PUBLICACIONS DE LA D.S.EDITORIALS,18089.5,,,"GERSA INFORMATICA, S.L.",B60202876
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22002110,2022,Virtualització curs  de respostes IRIS,605.0,2022-07-06,2022-07-07 00:00:00,GESEM FORMACIÓ I CONSULTORIA S,B60441292
Districte de Sarrià - Sant Gervasi,Serveis,22002978,2022,Contractació auxiliars Dte. Sarrià -Sant Gervasi,9635.53,2022-09-27,2023-02-28 00:00:00,GLOBAL ATTENTIVE SL,B67120196
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22002959,2022,Revisió i guia de la publicitat activa grup mpal,10998.9,,,"GLOBAL LEGAL DATA, SL",B62436001
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002207,2022,avaluació d’Impacte en la Protecció de Dades,3388.0,2022-07-12,2022-07-31 00:00:00,"GLOBAL LEGAL DATA, SL",B62436001
Districte de Sarrià - Sant Gervasi,Serveis,22002109,2022,Valoració de mercat C/ Ballester 2 i Vallirana 85,1452.0,2022-07-20,2022-12-31 00:00:00,GLOVAL VALUATION SA,A28903920
Districte de Ciutat Vella,Serveis,22003029,2022,Informe de Valoració Valldonzella 50,605.0,2022-09-30,2022-10-14 00:00:00,GLOVAL VALUATION SA,A28903920
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001306,2022,Redacció projecte i direcció d’obres PIADLes Corts,12705.0,2022-09-13,2022-12-30 00:00:00,GMA ARQUITECTURA COOPERATIVA,F67775825
Gerència de Recursos,Serveis,22002291,2022,Digitalització de mapes,2202.2,,,GRADUALMAP S.L,B60356813
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002290,2022,Edició llibret de sala expo. BCN-PREVENCIÓ 2022,6205.19,2022-07-07,2022-12-31 00:00:00,"GRAFIQUES ORTELLS, S.L.",B61007829
Districte de Gràcia,Serveis,22002596,2022,Desmuntatge i muntatge jocs infantils de pl. Sol,1694.0,2022-08-05,2022-08-22 00:00:00,HAGS SWELEK SA,A07478290
Districte de Les Corts,Serveis,22002791,2022,Servei Comunicació Accessible Sistema WHERIS 2022,4976.73,2022-09-05,2022-12-31 00:00:00,HIDDEN LINKS SCP,J65871659
Districte d' Horta-Guinardó,Obres,22002556,2022,FF - Modif clavegueró Ptge Arc Sant Martí,14919.8,2022-08-05,2022-11-05 00:00:00,"HIDROTEC SANEJAMENT, SL",B63558530
Gerència de Mobilitat i Infraestructures,Serveis,22002211,2022,Campanya avisos,18147.58,2022-08-24,2022-11-23 00:00:00,HISPAPOST SA,A88201546
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22002440,2022,Subminis. porta PB Montjuic i molla PB Sant Andreu,8752.75,2022-07-22,2022-12-31 00:00:00,"HÖRMANN ESPAÑA, S.A.",A58267378
Districte de Sant Martí,Obres,22002451,2022,Instal·lació reixa a l'espai públic c/ Pujades,48399.99,,,HPC IBERICA SA,A58620808
Districte de Sarrià - Sant Gervasi,Subministraments,22002891,2022,Compra EPI prevencio risc caiguda en altura,1044.46,2022-09-22,2022-12-31 00:00:00,"IBERPROTEC, SL",B63974307
Districte de Gràcia,Serveis,22003073,2022,Comptatges del Pla de Motos de Gràcia,5868.5,2022-10-06,2022-11-06 00:00:00,IDEEM INNOVA S.L.,B66056052
Gerència de Pressupostos i Hisenda,Serveis,22002832,2022,Estudi migració web Barcelona Dades,16749.43,,,IDENTIFICATION FOR EVERYONE S.,B66185315
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22002536,2022,Retirada 13 quioscos auto-servei,12584.0,,,IFBLE SOLUCIONES SL,B66768888
Districte de Sant Andreu,Serveis,22002722,2022,DO i COORD SS MUSEÏTZACIÓ DE L’ESPAI MAQUINISTA,5566.0,2022-08-12,2022-12-31 00:00:00,IMAGINATION FORMS SL,B67032771
Gerència d'Àrea de Seguretat i Prevenció,Obres,22002809,2022,Instal·lació nova sala calderes Unitat Muntada GUB,46904.83,2022-09-10,2022-12-31 00:00:00,IMESAPI SA,A28010478
Gerència d'Area d'Ecologia Urbana,Obres,22002848,2022,Obres de millora edificis municipals GEU,42848.37,2022-09-28,2022-11-28 00:00:00,IMESAPI SA,A28010478
Gerència d'Area d'Ecologia Urbana,Serveis,22002877,2022,Instal·lació a/ac sales rack edifici Diagonal EU,16675.78,2022-09-19,2022-10-19 00:00:00,IMESAPI SA,A28010478
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002956,2022,Enllaç fibra monomode a l’edifici formació Bombers,5073.75,,2022-12-31 00:00:00,"IMPALA NETWORK SOLUTIONS, S.L.",B60696721
Districte de Sants-Montjuïc,Serveis,22002548,2022,Auxiliars de control d'accessos a la via pública,18143.95,2022-07-30,2022-12-31 00:00:00,IN OUT CTRL SL,B67577916
Gerència de Mobilitat i Infraestructures,Serveis,22002778,2022,LLoguer tanques per festa de la Mercè,17212.25,2022-09-13,2022-10-12 00:00:00,INDUSTRIAL DE MATERIALES PARA,B64112394
Districte de Les Corts,Subministraments,22002580,2022,SUBMINIST. ORDINADORS EQUIPAMENTS DTE DE LES CORTS,14983.73,2022-07-27,2022-10-31 00:00:00,INFORDISA 2.0 SL,B55753875
Districte d' Horta-Guinardó,Obres,22002651,2022,"H - Pavimentació antilliscant c. Vent, 44-52",13502.05,2022-09-02,2022-10-02 00:00:00,INGENIERIA Y SERVICIOS FERROVI,A61401857
Districte de Sant Andreu,Serveis,22003027,2022,PROJ EXEC MILLORA CLIMATITZACIO BIBLI CAN FABRA,17856.59,2022-10-19,2022-12-31 00:00:00,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002812,2022,"Direcció obra i CSS projecte Nau C/Tànger, 81-83",11830.93,2022-09-10,2022-12-31 00:00:00,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte de Gràcia,Serveis,22002529,2022, Redacció projecte clima biblioteca Vila de Gràcia,9395.69,2022-07-26,2022-09-26 00:00:00,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte d' Horta-Guinardó,Obres,22002741,2022,FF - Arranj pati i terrassa casal barri F. Fargas,47497.15,2022-09-02,2022-12-31 00:00:00,INGEVIA 2008 SL,B61771515
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002435,2022,muntatge i lloguer infraestructures i artística,17538.83,2022-07-22,2022-09-21 00:00:00,INICIATIVES BARCELONA SPORTS C,B66956848
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22002513,2022,Producció 30 anys dels JJOO,16456.0,,,INICIATIVES BARCELONA SPORTS C,B66956848
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002629,2022,Jornada treball últim any mandat,3085.5,2022-07-28,2022-12-30 00:00:00,INICIATIVES I DINAMIQUES COMUN,B63912026
Districte de Sant Andreu,Serveis,22002396,2022,Animació CC Trinitat Vella agost 2022,5384.5,2022-08-01,2022-08-31 00:00:00,"INICIATIVES I PROGRAMES,S.L.",B59545913
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22002554,2022,Plataforma gestió d'activitats ESCOLAB curs 2022/3,6016.12,2022-07-28,2022-12-31 00:00:00,"INSTAIN SYSTEMS, SL",B66682196
Districte de l'Eixample,Subministraments,22002140,2022,Adquisició de mobiliari per despatx comissaria GUB,8090.54,,,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22002357,2022,Adq. cortines CGG J. Tarradellas i Seu Districte,5157.94,2022-07-08,2022-08-31 00:00:00,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22002813,2022,Frigorífics industrials per al SPCPEIS,5080.94,2022-09-10,2022-12-31 00:00:00,INSTAL.INTEGRA.HOSTELE.EUROLIN,B60587763
Districte de Sant Andreu,Subministraments,22002302,2022,SUB I COL PERSIANA METÀL.LICA LOCAL BISCAIA 404,8138.46,2022-07-06,2022-12-31 00:00:00,INSTALACIONES Y OBRAS 49 SL,B62898663
Districte de l'Eixample,Subministraments,22002215,2022,Adquisició de mobiliari per biblioteques,8955.15,,,"INSTALDECO, SL",B61601019
Gerència de Pressupostos i Hisenda,Serveis,22002661,2022,Informe tècnic econòmic taxa repartiment ecommerce,16335.0,,,INSTITUT D'ECONOMIA DE BARCELO,G64842446
Districte de Sant Martí,Serveis,22002452,2022,Serveis de jardineria manteniment plantes Seu Dte.,1568.09,,,INSTITUT MUNICIPAL PARCS I JAR,P5801914B
Districte de Sarrià - Sant Gervasi,Serveis,22002617,2022,PODA D'ARBRAT CC.PERE PRUNA,1259.83,2022-07-29,2022-12-31 00:00:00,INSTITUT MUNICIPAL PARCS I JAR,P5801914B
Gerència de Recursos,Serveis,22002609,2022,Revisió actualització banc preus plecs via pública,15972.0,,,INSTITUT TECNOLOGIA CONSTRUCC.,G08546665
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002671,2022,Primera acollida supervivients VM,3425.45,2022-08-03,2022-09-01 00:00:00,INTEGRACIÓN SOCIAL MINUSVÁLIDO,B61098638
Districte de Ciutat Vella,Serveis,22002501,2022,Prevenció i extinció d’incendis i extres 2021,5993.05,2022-07-19,2022-08-31 00:00:00,INV PROTECCION SL,B85582013
Districte de Sants-Montjuïc,Obres,22002447,2022,Instal·lació alarma incendis Lutoteca Olzinelles,4760.53,2022-07-23,2022-09-30 00:00:00,INV PROTECCION SL,B85582013
Districte de Sarrià - Sant Gervasi,Serveis,22002627,2022,Dir. facult. i assist. tèc. obres via públ. - PONT,17847.5,2022-09-19,2022-11-30 00:00:00,"IPLAN GESTION INTEGRAL, SL",B64906845
Gerència de Mobilitat i Infraestructures,Serveis,22002767,2022,DF i CSS SUDS,16335.0,2022-09-19,2023-12-19 00:00:00,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de l'Eixample,Serveis,22002707,2022,Redacció avantprojecte 1a pl Edif Entença-La Model,10285.0,,,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de Ciutat Vella,Serveis,22002731,2022,Red. Proj. millora pistes botxes Parc Barceloneta,6037.9,2022-08-17,2022-11-30 00:00:00,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de Ciutat Vella,Serveis,22003012,2022,Avantprojecte Doctor Aiguader CV,2999.59,,,"IPLAN GESTION INTEGRAL, SL",B64906845
Districte de Sant Martí,Serveis,22002407,2022,Projecte tèc. senyals vianants Parc Fluvial Besòs,6043.95,2022-07-19,2022-09-19 00:00:00,"IPSVIAL, S.L.",B84050889
Districte de Nou Barris,Serveis,22002688,2022,ESTUDI MILLORA SENYALITZACIO A LA GUINEUETA,4495.15,2022-08-10,2022-10-28 00:00:00,"IPSVIAL, S.L.",B84050889
"Ger. Drets Socials, Just. Global, Femini",Serveis,22002754,2022,Elaboració d'un model base de bones pràctiques,4973.1,2022-08-31,2022-10-26 00:00:00,"IQCOOP, S.C.C.L.",F67347120
Districte de Ciutat Vella,Serveis,22002934,2022,Llicències Adobe Pro Districte de Ciutat Vella,2129.37,,,"ITGLOBAL, SL",B61124376
Gerència Medi Ambient i Serveis Urbans,Serveis,22002416,2022,Manteniment Web Barcelona+Sostenible,7441.5,2022-07-28,2022-12-31 00:00:00,ITINERARIUM LOCAL. MULTIM.I X.,B64697519
Districte de Sant Andreu,Subministraments,22002885,2022,SUBST. I COL. PORTA ACCES VEHICLES A PG VERNEDA,7972.91,2022-09-19,2022-12-31 00:00:00,J A MANSERGAS SA,A58075250
Gerència d'Area d'Ecologia Urbana,Serveis,22002961,2022,Assessorament jurídic Nova Bocana del Port,15548.5,2022-09-23,2022-11-23 00:00:00,J&A GARRIGUES SL,B81709081
Districte de Sants-Montjuïc,Privat d'Administració Pública,22002901,2022,Concert Jam Session Viu Montjuïc,3872.0,2022-10-05,2022-12-31 00:00:00,"JAM SESSION ENSEÑANZA MUSICAL,",B63018162
Gerència d'Urbanisme,Serveis,22002389,2022,Coordinació tècnica publicació regeneració,16940.0,2022-07-27,2022-11-27 00:00:00,JORNET LLOP PASTOR SLP,B64750300
Districte d' Horta-Guinardó,Obres,22002024,2022,VH - Inst circuit salut recinte La Campa,47433.29,2022-07-06,2022-09-06 00:00:00,"JUEGOS KOMPAN,S.A.",A58178161
Districte de Nou Barris,Obres,22002669,2022,OBRES ADEQUACIÓ CRUÏLLA PG FABRA PUIG/ C.SANTA PAU,33593.47,2022-08-04,2022-10-04 00:00:00,KAPSCH TRAFFICCOM TRANSPORTATI,A78107349
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22002225,2022,Assessorament definició mapa signatures contractac,18029.0,2022-07-12,2022-09-27 00:00:00,KPMG ASESORES SL,B82498650
Gerència de Recursos,Serveis,22002553,2022,Servei auditoria control i verificació p. antifrau,16819.0,2022-08-01,2022-10-31 00:00:00,KPMG ASESORES SL,B82498650
Districte de Ciutat Vella,Serveis,22002906,2022,Sessions de la Xarxa de Comunicació Casc Antic,919.6,,,LA CLARA COMUNICACIO SCCL,F67079111
Gerència d'Area d'Ecologia Urbana,Serveis,22002471,2022,Creació i adaptació gràfica SetmanaEuropeaMobilita,6007.65,2022-07-20,2022-12-31 00:00:00,LA FACTORIA DELS ANUNCIS SLU,B62336136
Districte de Gràcia,Serveis,22002482,2022,Activitats Salutem - Festa Major La Salut,4499.99,2022-09-05,2022-09-30 00:00:00,LA MIRANDA CASAL DEL BARRI,G59874479
Districte de Sants-Montjuïc,Serveis,22002764,2022,Producció d’activitats per la Diada Sense Cotxes,8796.7,2022-09-02,2022-09-17 00:00:00,"LA UTOMICA, S.C.C.L.",F05416656
